,Subtype 1,Subtype 2,Subtype 3
CA1,1,0,0
PMF1;PMF1-BGLAP,1,0,0
PLEKHM1P1,1,0,0
CRNKL1,1,0,0
TEX26,1,0,1
CLDN7,1,0,0
RBIS,1,0,0
TAS2R30,1,0,0
MIA2,1,0,1
FUT2,1,0,1
TAS2R46,1,0,0
FAM20C,1,1,0
APOL4;APOL4,1,0,0
KLK12,1,0,0
MFSD14B;PCAT7,1,0,0
CYP2D6,1,0,0
PTPN4,1,1,0
DDX55,1,0,0
SETBP1,1,0,0
ANKLE1,1,0,0
POT1,1,0,0
TDH,1,0,0
PTEN,1,0,0
DNAJC4,1,0,0
NPEPPS,1,0,0
OR10J1,1,0,0
GGT6,1,0,0
AGAP6,1,0,0
AP1S3,1,0,0
CAPN8,1,0,0
IDI2,1,0,0
HLA-DPB2,1,0,0
RNF212,1,0,0
ZNF788P,1,0,0
VCX3B,1,0,0
TMEM216,1,0,0
OR10X1,1,0,0
MUC6,1,0,0
TUBB8B,1,0,0
OR11G2,1,0,0
OR51F1,1,0,0
CSTF3,1,0,0
PATE4,1,0,1
STXBP4,1,0,0
IVD,1,0,1
CCDC200;LINC00910,1,0,1
ZXDA,1,0,0
ZNF283,1,0,0
TPMT,1,0,0
NBPF26,1,1,0
VPS50,1,0,0
GNLY,1,0,0
AQP12B,1,0,0
PRAG1;PRAG1,1,0,0
HLA-C,1,0,0
PSG11,1,0,0
LINC01126,1,0,0
ENOSF1,1,0,0
CCDC26;GSDMC,1,0,0
SLC22A9,1,1,0
ABI3BP,1,0,0
SRA1,1,0,0
OR11H12,1,0,0
ADGRG1,1,0,0
THAP7-AS1,1,0,0
MAGEB16,1,0,0
ZSCAN29,1,0,0
PCDHA4,1,0,0
SPI1,1,0,0
RAD52,1,0,0
PGPEP1L,1,0,0
AMPD1,1,1,0
HINT1,1,0,0
EBLN2,1,0,0
CATSPER2,1,0,0
KANK2,1,0,0
OR2B11,1,1,0
AP3S1,1,0,0
KRTAP10-1,1,0,0
KIZ,1,0,0
GOSR1;SMURF2P1-LRRC37BP1,1,0,1
PRSS48,1,0,0
SLC6A10P,1,0,0
FAM181A-AS1,1,0,0
PLK5,1,0,0
VCX3A,1,0,0
SLC25A5,1,0,0
OR52N4,1,0,0
FAM120A,1,0,1
TRPM3,1,0,0
MYORG,1,0,0
POLR1B,1,0,0
POTEH;OR11H1,1,0,0
GUCA1C;GUCA1C,1,1,0
EML3,1,1,0
COL18A1,1,0,0
ACTN3,1,1,0
TCP10,1,0,0
OBP2A,1,0,1
ATG9B;ATG9B,1,1,0
RHBG,1,0,1
SCAMP4,1,1,0
C2CD3,1,0,0
PSG1,1,0,0
LPA,1,0,0
NONE;CHEK2P2,1,0,0
DCXR,1,0,0
MIS18BP1,1,1,0
TRIM67,1,0,0
LINC00482,1,0,0
TNK1,1,0,0
ZNF233,1,0,1
OR51Q1,1,0,0
ARSG;ARSG,1,0,0
C17orf77,1,0,0
MUC12,1,0,0
FLG,1,0,0
NIBAN1,1,0,0
LOC101927437,1,0,0
PLA2G2C,1,0,0
PRSS41,1,1,0
KRT1,1,1,0
PNLIPRP2,1,1,0
PHF2,1,0,1
RNVU1-1;MIR6077,1,0,0
GLT6D1,1,0,0
GZMB,1,0,0
ATP6V1C2,1,0,0
CCDC149,1,0,1
ANKRD44,1,0,0
LRRIQ1,1,0,0
OR2C1,1,0,0
PRB3,1,0,1
MT1IP,1,0,0
NAT8B,1,0,1
ABL2,1,0,0
SIM2,1,0,0
LOC101928068,1,0,0
USF3,1,0,0
GGT7,1,0,0
ALG1L2,1,1,0
ZNF567,1,0,0
AQP12A,1,0,0
USP17L10,1,0,0
BCLAF1,1,0,1
NUDT18,1,1,0
ABCD1,1,0,0
ELP5,1,0,0
HLA-DQA1,1,0,1
NUP50,1,0,0
LINC01551,1,0,1
PVRIG,1,0,1
LCE1D,1,0,0
COX6C,1,1,0
RNH1,1,0,1
POM121L4P,1,0,0
PCDHGA12,1,0,0
DERA,1,0,0
LOC100129083;SIGLEC10,1,0,0
OR8J1,1,0,0
UMODL1,1,0,1
TSPYL2,1,0,0
NACA2,1,0,0
LOC374443,1,1,0
LNX1,1,0,0
SPANXN4,1,0,0
CCDC144CP,1,0,1
PPP4R1L,1,0,1
HYDIN;HYDIN,1,0,0
TCTEX1D1,1,0,0
ASTE1,1,0,0
LINC01667,1,0,0
TCP10L2,1,0,1
EPB41L4A-DT,1,0,0
NUDT1,1,0,0
FRG1FP,1,0,0
AGPAT4-IT1,1,0,0
MTSS1,1,0,1
CYP2F1,1,1,0
TGIF1,1,0,0
OR5K2,1,0,0
B3GNT6,1,0,0
SPERT,1,0,0
